frame.number	frame.time_utc	ip.src	tcp.srcport	ip.dst	tcp.dstport	tcp.len	tcp.payload
1	2026-08-12T10:09:25.708516000Z	94.130.239.50	49876	94.130.239.34	5901	8	195f5d07a30f0000
2	2026-08-12T10:09:25.708540000Z	94.130.239.34	5901	94.130.239.50	49876	0	
3	2026-08-12T10:09:26.948642000Z	94.130.239.51	33600	94.130.239.34	5901	8	195f5d07a30f0000
4	2026-08-12T10:09:26.948670000Z	94.130.239.34	5901	94.130.239.51	33600	0	
5	2026-08-12T10:09:29.850653000Z	94.130.239.50	49876	94.130.239.34	5901	12	365753078f13040000000000
6	2026-08-12T10:09:29.850677000Z	94.130.239.34	5901	94.130.239.50	49876	0	
7	2026-08-12T10:09:29.863446000Z	94.130.239.34	5901	94.130.239.50	49876	16	fb8949088a1308000000060000000000
8	2026-08-12T10:09:29.863469000Z	94.130.239.50	49876	94.130.239.34	5901	0	
9	2026-08-12T10:09:29.863683000Z	94.130.239.34	5901	94.130.239.50	49876	61	be6307087a173500000043004d0048006f0073007400410027007300200072006f006f006d000000060000000000000000020001ff0000000001000000
10	2026-08-12T10:09:29.863697000Z	94.130.239.50	49876	94.130.239.34	5901	0	
11	2026-08-12T10:09:29.863877000Z	94.130.239.34	5901	94.130.239.50	49876	202	195f01089413c2000100000043004d0048006f007300740041000000010001000000000043004d0048006f00730074004700750069006c006400000000000000000000000000000000000000000000000000000000000000000000000000000000000000c80000000f0f0f0f00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
12	2026-08-12T10:09:29.863889000Z	94.130.239.50	49876	94.130.239.34	5901	0	
13	2026-08-12T10:09:29.864063000Z	94.130.239.34	5901	94.130.239.50	49876	12	3657e907ff26040005000000
14	2026-08-12T10:09:29.864075000Z	94.130.239.50	49876	94.130.239.34	5901	0	
15	2026-08-12T10:09:29.864289000Z	94.130.239.34	5901	94.130.239.51	33600	66	406ca7078e133a000100000043004d0048006f0073007400410027007300200072006f006f006d00000006000000000000000001000000020001ff00000000010000
16	2026-08-12T10:09:29.864459000Z	94.130.239.34	5901	94.130.239.51	33600	34	fb89dd0708171a0001000043004d0047007500650073007400420000000200000000
17	2026-08-12T10:09:29.886267000Z	94.130.239.51	33600	94.130.239.34	5901	0	
18	2026-08-12T10:09:29.965879000Z	94.130.239.50	49876	94.130.239.34	5901	12	c181e7077110040006000000
19	2026-08-12T10:09:30.007276000Z	94.130.239.34	5901	94.130.239.50	49876	0	
20	2026-08-12T10:09:31.398861000Z	94.130.239.34	5901	94.130.239.50	49876	16	c181e30752140800406cdfaa422add01
21	2026-08-12T10:09:31.398898000Z	94.130.239.50	49876	94.130.239.34	5901	0	
22	2026-08-12T10:09:31.629565000Z	94.130.239.50	49876	94.130.239.34	5901	12	ec52e3077110040006000000
23	2026-08-12T10:09:31.629588000Z	94.130.239.34	5901	94.130.239.50	49876	0	
24	2026-08-12T10:09:31.629736000Z	94.130.239.50	49876	94.130.239.34	5901	8	15583f07a30f0000
25	2026-08-12T10:09:31.629743000Z	94.130.239.34	5901	94.130.239.50	49876	0	
26	2026-08-12T10:09:31.831387000Z	94.130.239.50	49876	94.130.239.34	5901	32	2a35110753141800d900000000000000b7d672f59f01000081304c0200000000
27	2026-08-12T10:09:31.831410000Z	94.130.239.34	5901	94.130.239.50	49876	0	
28	2026-08-12T10:09:32.180863000Z	94.130.239.34	5901	94.130.239.51	33600	16	be63af075214080030e656ab422add01
29	2026-08-12T10:09:32.191642000Z	94.130.239.51	33600	94.130.239.34	5901	32	36573f075314180006000000000000001fd872f59f010000e9314c0200000000
30	2026-08-12T10:09:32.191663000Z	94.130.239.34	5901	94.130.239.51	33600	0	
