Tournament mode real-client green packet exchange
Capture: client-server-green.pcap
Filter: frame.number >= 1687, TCP port 5895, tournament packet IDs

frame	time_relative	source	sport	destination	dport	tcp_len	payload
1687	7766.586544000	127.0.0.1	44276	127.0.0.1	5895	12	36579907af26040000000000
1692	7766.640783000	127.0.0.1	5895	127.0.0.1	44276	404	d86ec908b0268c01010100000001004a00460054005300450020004f00700065006e002000430075007000000080560949c528dd018056579c0e2fdd018016c1c6d72fdd0180d62af1a030dd010200000003000000000400000080560949c528dd01010001000000100000001f010000000000001f010000000000001f010000000000001f010000000000001f0100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000
1705	7800.635913000	127.0.0.1	44276	127.0.0.1	5895	12	f9404308ad26040001000000
1707	7800.644550000	127.0.0.1	5895	127.0.0.1	44276	108	a82d2d08ae266400000100000001004a00460054005300450020004f00700065006e002000430075007000000080560949c528dd018056579c0e2fdd018016c1c6d72fdd0180d62af1a030dd010200000003000000000400000080560949c528dd0101000100000010000000
1708	7800.645880000	127.0.0.1	44276	127.0.0.1	5895	12	447edd07be26040001000000
1709	7800.649072000	127.0.0.1	5895	127.0.0.1	44276	39	4357d107bf261f0000010000000000000000000000000000000000000000000000000000000000
1737	7875.290192000	127.0.0.1	44276	127.0.0.1	5895	12	1a5f8707b126040001000000
1739	7875.294956000	127.0.0.1	5895	127.0.0.1	44276	9	bd813708b226010000
1769	7974.584547000	127.0.0.1	44276	127.0.0.1	5895	12	2d315b07b326040001000000
1771	7974.588797000	127.0.0.1	5895	127.0.0.1	44276	9	b15a1908b426010000
